section,page,keyword,description,units,obligatory
Header / RelativeMetadata,17,CCSDS_CDM_VERS,"Format version in the form of ‘x.y’, where ‘y’ is incremented for corrections an",1.0 2.0,Yes
Header / RelativeMetadata,17,CREATION_DATE,Message creation date/time in Coordinated Universal Time (UTC). (See 6.3.2.6 for,2010-03-12T22:31:12.000 2010-0,Yes
Header / RelativeMetadata,17,ORIGINATOR,Creating agency or owner/operator. Value should be the ‘Abbreviation’ value from,"JSPOC, ESA SST, CAESAR, JPL, S",Yes
Header / RelativeMetadata,17,MESSAGE_FOR,Spacecraft name(s) for which the CDM is provided.,"SPOT, ENVISAT, IRIDIUM, INTELS",No
Header / RelativeMetadata,17,MESSAGE_ID,ID that uniquely identifies a message from a given originator. The format and co,201113719185 ABC-12_34,Yes
Header / RelativeMetadata,17,TCA,The date and time in UTC of the closest approach. (See 6.3.2.6 for formatting ru,n/a,Yes
Header / RelativeMetadata,17,MISS_DISTANCE,The norm of the relative position vector. It indicates how close the two objects,m,Yes
RelativeMetadata (cont.),18,RELATIVE_SPEED,The norm of the relative velocity vector. It indicates how fast the two objects ,m/s,No
RelativeMetadata (cont.),18,RELATIVE_POSITION_R,The R component of Object2’s position relative to Object1’s position in the Radi,m,No
RelativeMetadata (cont.),18,RELATIVE_POSITION_T,The T component of Object2’s position relative to Object1’s position in the RTN ,m,No
RelativeMetadata (cont.),18,RELATIVE_POSITION_N,The N component of Object2’s position relative to Object1’s position in the RTN ,m,No
RelativeMetadata (cont.),18,RELATIVE_VELOCITY_R,The R component of Object2’s velocity relative to Object1’s velocity in the RTN ,m/s,No
RelativeMetadata (cont.),18,RELATIVE_VELOCITY_T,The T component of Object2’s velocity relative to Object1’s velocity in the RTN ,m/s,No
RelativeMetadata (cont.),18,RELATIVE_VELOCITY_N,The N component of Object2’s velocity relative to Object1’s velocity in the RTN ,m/s,No
RelativeMetadata (cont.),18,START_SCREEN_PERIOD,The start time in UTC of the screening period for the conjunction assessment. (S,n/a,No
RelativeMetadata (cont.),18,STOP_SCREEN_PERIOD,The stop time in UTC of the screening period for the conjunction assessment. (Se,n/a,No
RelativeMetadata (cont.),18,SCREEN_VOLUME_FRAME,Name of the Object1 centered reference frame in which the screening volume data ,n/a,No
RelativeMetadata (cont.),18,SCREEN_VOLUME_SHAPE,Shape of the screening volume: ELLIPSOID or BOX.,n/a,No
