page,keyword,description,example
4,CCSDS_CDM_VERS,CDM format version in the form of X.Y.,2.0
4,CLASSIFICATION,Description of dissemination controls,UNCLASSIFIED. Operator proprietary data; secondary
4,CREATION_DATE,File creation date/time in UTC in month-day format,2015-07-04T12:00:00.000000
4,ORIGINATOR,Creating agency or operator,TraCSS
4,MESSAGE_FOR,Spacecraft name(s) for which the CDM is provided,"STARLINK-61, <secondary satellite name>"
4,MESSAGE_ID,ID that uniquely identifies the CDM message,000049304_conj_000005614 _2024287050914
4,CONJUNCTION_ID,"ID that uniquely identifies all the CDMs representing the same conjunction. Based on object1 id, obj",dd8c054b-6bea-48fb-a245-6c b23331b156
4,TCA,The date and time of the conjunction in UTC ISO8601 format,2015-07-04T12:00:00.000000
4,MISS_DISTANCE,The overall separation distance of both objects at TCA in meters,437
4,MAHALANOBIS_DISTANCE,"The length of the relative position vector, normalized to one-sigma dispersions of the combined erro",12
5,RELATIVE_SPEED,The magnitude of the relative velocity vector in meters/sec. The speed at which both objects are mov,15031
5,RELATIVE_POSITION_R,The radial (R) component of Object 2’s position relative to Object 1 in Object 1’s RTN coordinate fr,-57
5,RELATIVE_POSITION_T,The transverse (T) component of Object 2’s position relative to Object 1 in Object 1’s RTN coordinat,-264
5,RELATIVE_POSITION_N,The normal (N) component of Object 2’s position relative to Object 1 in Object 1’s RTN coordinate fr,260
5,RELATIVE_VELOCITY_R,The radial (R) component of Object 2’s velocity relative to Object 1’s velocity in Object 1’s RTN co,1.5
5,RELATIVE_VELOCITY_T,The transverse (T) component of Object 2’s velocity relative to Object 1’s velocity in Object 1’s RT,-14072.6
5,RELATIVE_VELOCITY_N,The normal (N) component of Object 2’s velocity relative to Object 1’s velocity in Object 1’s RTN co,-2511.5
6,APPROACH_ANGLE,The angle between the inertial velocity vector of Object1 and the inertial velocity vector of Object,30
6,START_SCREEN_PERIOD,The start time in UTC of the screening period for the conjunction assessment,2015-07-04T12:00:00.000000
6,STOP_SCREEN_PERIOD,The stop time in UTC of the screening period for the conjunction assessment,2015-07-09T12:00:00.000000
6,SCREEN_VOLUME_FRAME,Name of the Object 1 or Object 2 centered reference frame in which the screening volume data are giv,RTN
6,SCREEN_VOLUME_SHAPE,Shape of the screening volume: ELLIPSOID or BOX.,ELLIPSOID BOX
6,SCREEN_VOLUME_X,The R component size of the screening volume in the SCREEN_VOLUME_FRAME in km,0.4
6,SCREEN_VOLUME_Y,The T component size of the screening volume in the SCREEN_VOLUME_FRAME in km,25
6,SCREEN_VOLUME_Z,The N component size of the screening volume in the SCREEN_VOLUME_FRAME in km,25
6,SCREEN_PC_THRESHOLD,The collision probability screening threshold used to identify this conjunction.,0
6,COLLISION_PROBABILITY,The probability of collision (Pc) calculated from values of 0.0 to 1.0,0.000003656957
7,COLLISION_PROBABILITY_METHOD,The method utilized to calculate probability of collision,FOSTER-1992
7,COLLISION_MAX_PROBABILITY,The maximum collision probability that Object1 and Object2 will collide,0.001243656957
7,COLLISION_MAX_PC_METHOD,Method used to calculate COLLISION_MAX_PROBABILI TY,FRISBEE
7,FIELDSBELOWREPEATEDFOROBJECT1AND2,,
7,OBJECT,The object for which the metadata applies,OBJECT 1 OBJECT 2
7,OBJECT_DESIGNATOR,The SCC or NORAD CAT ID for the object,25544
7,CATALOG_NAME,The satellite catalog used for the object,DOD Catalog TraCSS OCM Catalog TraCSS Commercial D
7,OBJECT_NAME,The common name for the object,STARLINK-61 COSMOS 1408 DEB
7,INTERNATIONAL_DESIGNATOR,"The International Designator for the object in a YYYY-NNNP{PP}, where: YYYY = Year of launch. NNN = ",1998-06
7,OBJECT_TYPE,Category of type of object,PAYLOAD ROCKET BODY DEBRIS UNKNOWN OTHER
8,OPS_STATUS,Specification of the operational status of the space object. Information will be pulled from corresp,OPERATIONAL_MANEUVERAB LE NONOPERATIONAL Full list
8,OPERATOR_ORGANIZATION,The organization of the owner/operator of the object,SpaceX
8,OPERATOR_PHONE,The phone number of the owner/operator of the object. Space-Track will place a URL for a query that ,284-135-4239
8,OPERATOR_EMAIL,The e-mail of the owner/operator of the object. Space-Track will place a URL for a query that will l,First.last@email.org
8,EPHEMERIS_NAME,The MESSAGE_ID of the ephemeris utilized if the data source is an OCM,NONE d49d5103-1124-4909-952a-a 391d92dc372
8,COVARIANCE_METHOD,"The method of which covariance is calculated. When covariance cannot be calculated, default values m",CALCULATED DEFAULT
8,MANEUVERABLE,The maneuvering capability of the object for collision avoidance. This field will be populated with ,YES NO UNKNOWN
8,ORBIT_CENTER,"The central body about which Object1 and Object2 orbit. If not specified, the",EARTH SUN
9,REF_FRAME,Name of the reference frame for the provided state vectors,EME2000 for position and velocity
9,GRAVITY_MODEL,The name of the gravity model used for propagation. Information will be pulled from corresponding OC,"EGM-96: 36D 360, NONE"
9,ATMOSPHERIC_MODEL,The name of the atmospheric model used for propagation. Information will be pulled from correspondin,"JBH09, NONE"
9,N_BODY_PERTURBATIONS,The gravitational perturbation models used in a comma separated format. Information will be pulled f,"MOON, SUN, NONE"
9,SOLAR_RAD_PRESSURE,Indicates whether solar radiation pressure was used during the Orbit Determination (OD) of the objec,YES NO
9,EARTH_TIDES,Indicates whether solid Earth and ocean tides were used in the OD of object. Information will be pul,YES NO
9,INTRACK_THRUST,Indicates whether in-track thrust modeling was used for the OD and propagation of the object.,YES NO
9,TIME_LASTOB_START,The binned time in UTC of the start of the timespan that,2015-07-04T12:00:00.000000
